Crash ID,Date,Day of Week,Time,Lane Count,Crash Type,Functional Class,Speed Limit,Environmental Conditions,Light Conditions,Surface Condition,Total Vehicles Involved,Curve Related,Alcohol Involved,Distracted Driving Involved,Drugged Driver Involved,Older Driver Involved,Temp Traffic Control Zone,Traffic Controls Present,Vehicle Type,Severity
9969918,4,1,2,3,3,2,4,1,4,2,2,2,2,2,2,1,1,1,1,3
9741036,4,1,1,3,1,2,4,1,4,2,2,1,2,1,2,2,1,1,1,3
9965952,4,1,1,3,1,2,4,1,3,2,2,2,2,1,2,3,1,1,1,3
9705367,4,1,1,2,3,2,1,2,2,2,2,2,2,2,2,2,1,1,3,3
9741034,4,2,1,3,3,2,4,2,4,1,2,2,2,2,2,2,1,1,1,3
9741032,4,2,1,2,1,2,1,2,1,1,2,1,2,1,2,2,1,1,1,3
9969916,4,2,1,3,1,2,4,2,1,1,2,1,2,1,2,2,1,1,1,3
9978584,4,2,2,3,1,2,4,2,4,1,2,1,2,2,2,2,1,1,1,3
9696734,4,2,1,2,2,2,4,2,1,1,3,2,2,2,2,1,3,1,3,3
9969914,4,2,1,3,4,2,4,2,1,1,1,2,2,2,2,2,1,1,1,3
9978583,4,2,1,3,3,2,4,2,1,1,2,2,2,2,2,2,1,1,3,3
9706637,4,2,1,2,1,2,1,2,1,2,2,2,2,1,2,2,3,1,1,3
9960504,4,1,2,3,4,2,4,1,4,2,1,2,2,2,2,2,1,1,1,2
9698768,4,1,1,3,4,2,4,1,1,2,2,2,2,2,2,2,1,1,1,3
9706619,4,1,1,3,1,2,1,2,4,1,2,2,2,2,2,1,3,3,1,3
9690247,4,1,1,3,1,2,3,1,1,2,2,2,2,2,2,2,1,1,1,3
9985706,4,1,2,3,3,2,4,2,4,1,2,2,2,2,2,2,1,1,3,3
9746231,4,1,1,3,1,2,2,2,3,1,2,2,2,1,2,2,1,1,1,3
9699631,4,1,1,2,1,2,3,2,1,1,2,2,2,1,2,2,1,1,1,3
9700645,4,1,1,3,3,2,2,2,1,1,2,2,2,1,2,1,1,2,2,3
9969909,4,1,1,3,1,2,4,2,1,1,2,1,2,2,2,2,1,1,2,3
9741088,4,1,1,2,1,2,3,2,1,1,2,2,2,1,2,1,1,1,1,3
9700641,4,1,2,3,1,2,2,2,4,1,3,2,2,1,2,2,1,1,1,3
9700640,4,1,1,2,1,2,1,2,4,1,2,2,2,1,2,2,2,2,1,3
9707412,4,1,1,3,1,2,3,2,1,1,2,2,2,1,2,2,1,1,1,3
9703600,4,1,1,3,3,2,3,2,1,1,2,2,2,1,2,2,1,1,1,3
9985703,4,1,2,3,4,2,4,2,3,1,2,2,2,1,2,2,1,1,1,3
9706585,4,1,2,2,3,2,1,2,4,1,3,2,2,2,2,2,1,1,1,3
9703211,4,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,3
9969907,4,1,1,3,1,2,4,2,1,1,2,2,2,1,2,2,2,1,1,3
9691056,4,1,1,3,1,2,2,2,1,1,2,2,2,1,2,2,1,1,1,3
9960499,4,1,1,2,4,2,2,1,3,2,1,1,2,2,2,2,2,1,1,3
9990314,4,1,3,3,1,2,4,1,4,2,2,2,2,2,2,1,1,1,1,3
9985701,4,2,1,3,4,2,4,2,3,1,1,2,2,2,2,1,1,1,1,3
9978575,4,2,1,3,1,2,4,2,4,1,2,1,2,2,2,2,1,1,2,3
9969901,4,2,1,3,1,2,4,2,1,1,2,2,2,2,2,3,1,1,1,3
9721790,4,1,2,2,1,2,1,2,4,2,2,2,2,2,2,1,1,1,1,3
9969896,4,1,1,3,1,2,4,2,1,1,2,2,2,2,2,3,1,1,1,3
9965920,4,1,1,3,1,2,4,1,1,2,2,2,2,2,2,2,1,1,1,3
9712208,4,1,1,3,1,2,3,1,1,2,2,2,2,2,2,2,3,3,3,3
9731753,4,1,1,2,1,2,2,1,1,2,2,2,2,1,2,3,1,1,1,3
9714353,4,1,2,2,2,2,3,1,4,2,2,2,2,2,2,3,1,1,1,3
9708034,4,1,2,3,3,2,3,1,4,2,2,2,2,2,2,1,1,2,3,3
9806294,4,1,1,2,3,2,1,2,2,2,3,2,2,1,2,1,3,1,1,3
9960492,4,1,1,3,3,2,4,1,1,2,2,2,2,1,2,1,1,1,2,3
9960491,4,1,1,2,3,2,4,1,1,2,2,2,2,2,2,2,1,1,1,3
9712969,4,1,1,3,1,2,3,1,1,1,2,2,2,1,2,2,3,1,1,3
9960778,4,1,1,3,1,2,4,1,1,2,2,2,2,2,2,1,1,1,2,3
9698953,4,1,1,3,1,2,3,2,1,1,2,2,2,2,2,2,1,1,1,3
9693128,4,1,1,2,1,2,3,2,4,1,2,1,2,2,2,2,1,1,1,3
9968616,4,1,3,3,1,2,4,2,4,1,2,2,2,2,2,2,1,1,1,2
9970985,4,1,2,3,3,2,3,2,4,1,2,2,2,2,2,2,1,1,3,3
9690237,4,1,1,3,1,2,3,2,1,1,2,1,2,1,2,1,1,1,1,3
9714347,4,1,1,2,4,1,1,2,1,1,1,2,2,1,2,1,2,2,1,3
9714010,4,1,1,3,1,2,2,2,1,1,2,2,2,1,2,1,1,1,1,3
9977067,4,1,1,3,1,2,4,2,1,1,2,2,2,2,2,3,1,1,1,3
9735510,4,1,1,2,3,1,3,2,1,1,2,2,2,2,2,2,1,1,2,3
9749420,4,1,1,3,3,2,1,2,1,1,2,2,2,1,2,1,3,1,1,3
9968615,4,1,2,3,3,2,4,2,3,1,2,2,2,2,2,1,1,2,2,3
9690232,4,1,2,3,1,2,3,2,4,1,3,1,2,1,2,3,1,1,1,3
9968374,4,1,2,3,1,2,4,2,4,1,2,2,2,2,2,2,1,1,1,3
9700266,4,1,1,3,3,2,4,2,1,1,2,2,2,2,2,2,1,1,3,3
9729026,4,1,1,3,5,2,1,2,1,1,1,2,2,2,2,1,1,1,1,3
9985902,4,1,1,3,3,2,4,2,1,1,2,2,2,2,2,3,1,1,1,3
9969890,4,1,1,3,3,2,4,2,1,1,3,2,2,2,2,2,1,1,1,3
9730545,4,1,1,3,1,2,3,2,1,1,3,2,2,1,2,1,2,1,2,3
9955302,4,1,1,3,3,2,4,2,1,1,2,2,2,1,2,3,1,1,1,3
9985698,4,1,1,3,4,2,4,2,1,1,1,2,2,1,2,1,1,1,1,3
9702375,4,1,1,2,1,2,4,2,1,1,2,2,2,1,2,2,1,1,3,3
9708745,4,1,1,3,2,2,2,2,1,1,2,2,2,2,2,2,1,1,1,3
9985696,4,1,3,3,4,2,4,2,3,1,1,1,2,1,2,2,1,1,3,3
9695134,4,1,3,2,4,2,4,2,4,1,1,2,2,1,2,2,1,1,3,3
9979606,4,1,3,3,1,2,4,2,3,1,2,2,2,2,2,2,1,2,1,3
9706328,4,1,2,3,1,2,3,2,4,1,2,2,1,2,2,2,1,1,1,3
9982581,4,1,2,3,1,2,4,2,3,1,3,2,2,2,2,2,1,1,1,3
9968614,4,1,2,3,1,2,4,2,4,1,2,2,2,1,2,2,1,1,1,3
9698758,4,1,1,3,3,2,4,1,4,1,2,2,2,2,2,2,1,1,1,3
9712180,4,1,1,2,1,2,1,2,1,1,2,2,2,1,2,3,3,1,3,3
9992907,4,1,1,2,4,1,3,2,1,1,1,2,2,1,2,1,1,1,1,3
9990977,4,1,1,1,1,2,4,2,1,2,2,2,2,2,2,1,1,1,3,3
9698828,4,1,1,3,1,2,1,2,1,1,2,2,2,1,2,2,1,1,3,3
9692360,4,2,2,2,3,2,3,1,4,2,2,1,2,1,2,2,1,1,1,3
9969889,4,2,1,3,1,2,4,2,1,1,2,2,2,1,2,2,1,1,1,3
9705090,4,2,1,2,3,2,2,1,1,2,2,2,2,1,2,3,1,1,1,3
9715195,4,2,1,2,1,2,2,1,1,2,2,2,2,1,2,2,1,1,1,3
9980160,4,2,1,3,4,2,4,1,1,2,1,2,2,1,2,2,1,1,1,3
9960484,4,2,1,3,4,2,4,1,1,2,1,1,2,2,2,2,1,1,3,3
9715187,4,2,1,2,3,2,2,1,1,2,2,2,2,2,2,2,1,2,1,3
9702454,4,2,1,2,3,2,1,1,1,2,2,2,2,1,2,2,1,1,1,3
9692438,4,2,1,2,3,2,4,1,1,2,2,2,2,2,2,3,1,2,3,3
9690218,4,2,3,3,1,2,3,1,4,2,2,2,2,1,2,2,1,1,1,3
9702980,4,1,2,2,4,2,1,2,4,2,1,2,1,1,2,2,1,1,1,3
9969884,4,1,2,3,1,2,4,1,4,2,2,2,2,1,2,3,1,1,1,3
9867169,4,1,1,3,3,2,2,2,4,1,2,2,2,1,2,2,1,1,2,3
9867481,4,1,1,2,1,2,3,2,4,1,2,2,2,1,2,3,1,1,1,3
9713790,4,1,1,2,1,2,3,2,1,1,2,2,2,2,2,1,1,2,1,3
9678178,4,1,1,3,2,2,1,1,1,1,2,2,2,2,2,2,1,1,1,3
9711726,4,1,1,2,3,2,3,1,1,1,2,2,2,2,2,2,1,1,3,3
9695121,4,1,1,2,3,2,3,2,1,1,2,2,2,1,2,1,1,1,3,3
9867168,4,1,1,3,3,2,2,1,1,1,2,2,2,1,2,2,1,1,3,3
9867480,4,1,1,2,1,2,3,2,1,1,2,2,2,1,2,1,1,1,2,3
9698749,4,1,1,3,1,2,4,2,1,1,2,2,2,2,2,2,1,1,1,3
9960481,4,1,1,2,3,2,2,2,1,1,2,2,2,2,2,2,1,1,3,3
9960497,4,1,2,2,3,2,2,2,4,1,2,1,2,2,2,2,1,1,2,3
9970588,4,1,2,3,1,2,4,2,4,1,2,2,2,1,2,2,1,1,1,3
9973416,4,1,2,3,1,2,4,2,3,1,2,2,2,2,2,3,1,1,1,3
9718761,4,1,1,2,5,2,1,2,4,1,1,2,2,1,2,2,3,1,1,3
9689980,4,1,1,2,3,2,3,2,3,1,2,2,2,2,2,3,1,2,2,3
9689979,4,1,1,2,3,2,3,2,1,1,2,2,2,2,2,2,1,1,1,3
9746151,4,1,1,2,2,2,3,2,1,1,2,2,2,2,2,2,1,1,1,3
9963160,4,1,1,2,3,2,4,2,1,1,2,2,2,2,2,1,1,1,2,3
9692217,4,1,3,3,2,2,2,2,4,1,2,2,2,1,2,3,1,1,1,3
9692216,4,1,3,3,1,2,2,2,4,1,2,1,2,1,2,2,1,1,1,3
9984056,4,1,2,3,3,2,4,2,4,1,2,2,2,2,2,2,1,1,3,3
9715403,4,1,2,2,1,2,3,2,3,1,3,2,2,1,2,2,1,1,1,3
9961497,4,1,2,3,3,2,4,2,4,1,2,2,2,2,2,2,1,1,1,3
9971416,4,1,1,2,3,2,4,2,4,1,2,2,2,2,2,2,1,1,3,3
9732402,4,1,1,3,3,2,4,2,1,1,2,2,2,2,2,1,1,2,1,3
9969879,4,1,1,3,1,2,4,2,1,1,2,2,2,2,2,2,1,1,1,3
9742715,4,1,2,3,1,2,4,2,4,1,2,2,2,2,2,2,1,1,1,3
9978562,4,1,2,3,3,2,4,2,4,1,2,2,2,2,2,2,1,1,2,3
9732399,4,1,2,3,1,2,4,2,4,1,2,2,2,1,2,2,1,1,1,3
9969876,4,1,1,3,1,2,4,2,4,1,2,2,2,2,2,2,1,1,2,3
9717397,4,1,1,2,1,1,2,2,3,1,2,1,2,1,2,2,3,1,1,3
9980151,4,1,1,3,4,2,4,2,1,1,1,2,2,2,2,2,1,1,1,3
9746148,4,1,1,2,2,2,3,2,1,1,2,1,2,2,2,2,1,1,2,3
9690495,4,1,1,1,1,1,4,2,1,1,3,2,2,1,2,3,1,1,2,3
9960775,4,1,1,3,1,2,4,2,1,1,2,2,2,2,2,2,1,1,3,3
9677506,4,1,1,3,1,2,4,2,1,1,2,2,2,2,2,3,1,1,3,3
9747060,4,1,1,3,1,2,3,2,1,1,2,2,2,1,2,1,1,1,1,3
9695070,4,1,1,2,1,2,3,2,1,1,2,2,2,1,2,3,1,1,3,3
9712031,4,1,1,2,1,2,3,2,1,1,2,2,2,1,2,2,2,1,2,3
9960474,4,1,1,2,1,2,4,2,3,1,2,2,2,2,2,1,2,1,1,3
9725644,4,1,1,2,1,2,1,2,1,1,2,2,2,2,2,2,1,2,2,3
9805921,4,1,1,2,2,2,1,2,1,1,2,2,2,1,2,1,1,1,1,3
9680823,4,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,1,1,1,3
9726597,4,1,1,2,1,2,3,2,1,1,2,2,2,2,2,2,1,1,1,3
9971418,4,1,1,2,3,2,4,2,1,1,2,2,2,2,2,2,1,1,1,3
9702338,4,1,1,2,3,2,3,2,1,1,2,2,2,1,2,2,1,1,1,3
9990967,4,1,1,2,1,2,4,2,1,1,3,2,2,1,2,2,1,1,1,3
9990966,4,1,1,2,1,2,4,2,3,1,2,2,2,1,2,2,1,1,2,3
9732391,4,1,3,2,4,2,4,2,4,1,1,2,2,1,2,2,1,1,1,3
9965897,4,2,1,3,3,2,4,2,4,1,2,2,2,2,2,2,1,1,1,3
9960471,4,2,2,2,3,2,2,2,4,1,2,1,2,2,2,2,1,2,3,3
9690223,4,2,2,2,2,2,1,2,4,1,3,2,2,2,2,2,1,1,1,3
9703575,4,2,1,3,1,2,3,2,4,1,2,2,2,2,2,2,1,1,1,3
9682637,4,1,2,2,4,2,1,2,2,1,1,1,2,2,2,3,1,1,1,3
9960468,4,1,2,2,3,2,2,2,4,1,2,1,2,1,2,2,1,1,3,3
9978558,4,1,2,3,1,2,4,2,4,1,2,2,2,1,2,1,1,1,1,3
9708180,4,1,2,2,1,2,1,2,4,1,2,2,2,1,2,3,1,1,1,3
9708179,4,1,2,2,1,2,1,2,4,1,2,2,2,1,2,3,1,1,1,3
9732386,4,1,1,3,3,2,4,2,4,1,2,2,2,2,2,1,1,1,1,3
9696675,4,1,1,2,3,2,2,2,4,1,2,2,2,1,2,2,1,1,2,3
9963157,4,1,1,2,1,2,4,2,1,1,2,2,2,1,2,3,1,1,2,3
9709520,4,1,1,3,2,1,3,2,1,1,2,2,2,2,2,2,1,1,2,3
9692145,4,1,1,3,3,2,3,2,1,1,2,2,2,2,2,2,1,1,3,3
9678403,4,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,3,1,2,3
9980143,4,1,1,3,1,2,4,2,1,1,3,2,2,2,2,2,1,1,3,3
9980142,4,1,1,3,1,2,4,2,1,1,2,2,2,2,2,2,1,1,2,3
9695092,4,1,1,2,1,2,4,2,1,1,2,2,2,2,2,2,1,1,3,3
9971415,4,1,1,2,1,2,4,2,1,1,2,2,2,2,2,2,1,1,1,3
9699605,4,1,1,2,1,2,2,2,1,1,2,2,2,1,2,2,1,1,2,3
9964850,4,1,3,3,1,2,4,2,4,1,2,1,2,2,2,2,1,1,1,3
9960772,4,1,3,3,1,2,4,2,4,1,2,2,1,1,1,2,1,1,3,1
9735953,4,1,2,2,1,1,4,2,4,1,2,2,2,2,2,2,1,1,1,3
9969870,4,1,2,3,1,2,4,2,3,1,2,2,2,2,2,3,1,1,2,3
9973847,4,1,1,2,2,2,3,2,1,1,2,2,2,2,2,3,3,1,1,3
9707237,4,1,1,3,4,2,2,2,1,1,1,2,2,1,2,2,1,1,3,3
9696729,4,1,1,2,4,2,2,2,1,1,1,2,2,2,2,2,1,1,3,3
9698253,4,1,1,2,1,2,3,1,1,1,2,2,2,1,2,1,1,1,3,3
9993778,4,1,1,3,3,2,4,2,1,1,2,2,2,2,2,1,1,1,2,3
9701123,4,1,2,3,3,2,2,2,4,1,2,2,2,1,2,2,1,1,1,3
9675882,4,1,2,2,2,2,2,2,4,1,2,2,2,2,2,2,1,1,1,3
9960466,4,1,2,3,1,2,4,2,4,2,3,2,2,2,2,1,1,1,1,3
9675881,4,1,1,2,3,2,2,2,4,1,2,2,2,2,2,3,1,1,1,3
9681698,4,1,1,2,3,2,1,2,1,1,2,2,2,2,2,3,1,1,1,3
9687413,4,1,1,2,1,2,3,2,1,1,2,2,2,1,2,2,1,1,1,3
9675879,4,1,1,3,1,2,3,1,1,1,2,2,2,1,2,3,1,2,2,3
9741018,4,1,1,2,1,2,1,2,1,1,2,1,2,1,2,3,1,1,1,3
9684190,4,1,1,3,3,2,2,2,1,1,2,2,2,1,2,2,1,1,1,3
9746121,4,1,2,3,3,2,4,2,4,1,2,1,2,2,2,2,1,1,1,3
9964846,4,1,2,3,3,2,4,2,4,1,2,2,2,2,2,1,1,1,1,3
9717639,4,1,1,2,1,2,2,2,4,1,2,2,2,1,2,2,1,1,1,3
9960984,4,1,1,3,1,2,4,2,3,1,3,2,2,2,2,2,1,1,1,3
9687032,4,1,1,2,1,2,1,2,1,1,2,2,2,1,2,3,1,1,3,3
9703563,4,1,1,3,3,2,3,2,1,1,2,2,2,2,2,3,1,2,1,3
9968342,4,1,1,2,3,2,4,2,1,1,2,2,2,2,2,2,1,1,2,3
9694300,4,1,1,3,3,2,2,2,1,1,2,2,2,1,2,2,1,1,3,3
9741008,4,1,1,2,1,2,3,2,1,1,2,1,2,2,2,2,1,1,1,3
9960459,4,1,1,3,4,2,4,2,1,1,1,1,1,1,2,2,1,1,1,3
9687348,4,1,1,3,3,2,4,2,1,1,2,2,2,1,2,2,1,1,1,3
9687923,4,1,1,2,2,2,3,2,1,1,2,2,2,2,2,1,1,1,1,3
9687921,4,1,1,2,3,2,3,2,1,1,2,2,2,2,2,2,1,1,3,3
9706717,4,1,1,2,1,2,1,2,1,1,2,2,2,1,2,2,1,1,2,3
9694009,4,1,1,2,2,2,1,2,1,1,3,2,2,2,2,2,1,1,3,3
9684457,4,1,1,2,1,2,3,2,1,1,2,2,2,2,2,2,1,1,1,3
9960457,4,2,2,3,4,2,4,1,4,2,1,1,2,2,2,3,1,1,1,3
9698740,4,2,1,3,1,2,4,1,2,2,3,2,2,2,2,1,1,1,1,3
9960451,4,2,2,3,1,2,4,1,4,2,2,1,2,1,2,2,1,1,1,3
9960450,4,2,2,2,1,2,4,1,4,2,3,2,2,1,2,1,1,1,1,3
9960448,4,2,2,2,3,2,2,2,4,2,2,1,2,1,2,1,1,1,1,3
9740999,4,2,2,3,1,2,4,1,4,2,2,2,2,1,2,2,1,1,1,3
